108,No action,Found no violation
43,Summons,Summons
73,No action,Found no violation
106,Something,Took action
114,Something,Took action
32,No action,Jurisdiction
114,No action,Jurisdiction
45,Something,Took action
71,Something,Took action
33,No action,Found no violation
70,Something,Report
110,Something,Took action
102,No action,Action not necessary
75,No action,Found no violation
68,No action,Provided information
115,No action,Gone
47,No action,Jurisdiction
75,No action,Jurisdiction
49,Something,Took action
34,Something,Took action
46,No action,Found no violation
88,No action,Found no violation
114,No action,Found no violation
62,No action,Action not necessary
52,No action,Found no violation
104,Something,Took action
50,No action,Contact Info
45,No action,Jurisdiction
48,Something,Took action
44,No action,Action not necessary
79,No action,Gone
79,Something,Took action
75,No action,Found no violation
102,Summons,Summons
75,No action,Gone
107,No action,Action not necessary
47,Summons,Summons
110,No action,Found no violation
102,No action,Gone
49,No action,Provided information
102,No action,Action not necessary
111,Something,Took action
105,Summons,Summons
52,No action,Action not necessary
101,Something,Took action
75,No action,Gone
52,Something,Took action
62,No action,Gone
109,Something,Took action
75,No action,Provided information
52,No action,Found no violation
45,No action,Action not necessary
75,No action,Found no violation
102,No action,Found no violation
50,No action,Found no violation
50,No action,Gone
114,No action,Action not necessary
62,No action,Jurisdiction
104,No action,Action not necessary
50,No action,Found no violation
70,No action,Found no violation
47,Summons,Summons
109,No action,Action not necessary
107,No action,Jurisdiction
104,No action,Action not necessary
114,No action,Gone
120,Summons,Summons
109,Something,Took action
109,No action,Found no violation
104,Something,Took action
43,No action,Provided information
5,Something,Took action
94,No action,Action not necessary
75,Something,Took action
109,No action,Found no violation
75,No action,Action not necessary
102,Something,Took action
114,Something,Took action
105,Something,Took action
42,Something,Took action
50,No action,Action not necessary
69,Something,Took action
84,No action,Found no violation
52,Something,Took action
49,No action,Action not necessary
60,No action,Action not necessary
108,Something,Took action
46,No action,Action not necessary
46,Summons,Summons
50,Something,Took action
62,No action,Action not necessary
45,No action,Gone
115,No action,Gone
79,Something,Took action
75,No action,Found no violation
110,Something,Took action
70,No action,Action not necessary
62,Something,Took action
45,No action,Found no violation
90,No action,Found no violation
115,Something,Took action
48,No action,Gone
114,No action,Found no violation
106,Something,Took action
110,Something,Took action
79,Something,Took action
120,Summons,Summons
40,Something,Took action
111,Something,Took action
105,No action,Found no violation
44,No action,Found no violation
50,Something,Took action
84,No action,Action not necessary
50,No action,Action not necessary
66,Something,Report
50,No action,Found no violation
34,No action,Action not necessary
114,No action,Gone
52,Summons,Summons
50,Something,Took action
43,No action,Action not necessary
40,Something,Took action
109,Something,Took action
79,Something,Took action
52,Something,Took action
75,No action,Provided information
113,No action,Found no violation
42,Something,Took action
113,No action,Found no violation
110,Something,Took action
45,Something,Took action
79,Something,Took action
121,No action,Action not necessary
102,No action,Provided information
40,No action,Found no violation
47,No action,Jurisdiction
50,No action,Found no violation
45,No action,Action not necessary
115,No action,Action not necessary
110,No action,Found no violation
50,Something,Took action
46,No action,Found no violation
46,No action,Action not necessary
50,Something,Took action
33,No action,Action not necessary
109,Summons,Summons
33,No action,Action not necessary
33,No action,Found no violation
33,No action,Action not necessary
115,No action,Found no violation
33,No action,Action not necessary
33,Summons,Summons
109,Something,Took action
70,Something,Report
42,Something,Took action
73,No action,Action not necessary
114,Something,Took action
50,Summons,Summons
79,No action,Found no violation
104,No action,Found no violation
106,No action,Gone
62,No action,Jurisdiction
115,No action,Action not necessary
52,No action,Found no violation
50,No action,Action not necessary
123,Summons,Summons
48,Something,Took action
109,Something,Took action
84,No action,Found no violation
34,No action,Jurisdiction
49,No action,Gone
68,Summons,Summons
102,No action,Action not necessary
45,No action,Gone
105,Summons,Summons
50,No action,Found no violation
107,No action,Action not necessary
115,Something,Report
109,No action,Action not necessary
43,Something,Took action
47,Something,Took action
81,No action,Action not necessary
47,No action,Gone
43,Something,Took action
50,No action,Gone
104,No action,Gone
79,No action,Found no violation
52,Summons,Summons
50,No action,Action not necessary
47,Something,Took action
110,No action,Found no violation
105,No action,Action not necessary
79,No action,Found no violation
47,No action,Found no violation
44,Something,Took action
49,Summons,Summons
73,Something,Took action
50,No action,Action not necessary
50,No action,Action not necessary
105,Something,Took action
67,No action,Found no violation
104,No action,Gone
102,No action,Action not necessary
81,Something,Took action
113,No action,Found no violation
43,No action,Action not necessary
114,Something,Took action
109,Something,Took action
66,No action,Action not necessary
78,No action,Jurisdiction
62,No action,Gone
47,Something,Took action
120,Something,Took action
45,Something,Took action
122,No action,Found no violation
30,Something,Took action
109,Something,Took action
46,No action,Action not necessary
101,No action,Jurisdiction
50,No action,Action not necessary
50,Something,Took action
78,No action,Jurisdiction
115,No action,Action not necessary
109,Something,Took action
104,Something,Took action
102,Summons,Summons
83,Summons,Summons
5,No action,Provided information
5,No action,Provided information
79,No action,Jurisdiction
103,Something,Took action
102,No action,Action not necessary
81,No action,Jurisdiction
45,Something,Took action
52,No action,Gone
69,Something,Took action
50,No action,Found no violation
84,No action,Found no violation
23,Something,Took action
